Year,AvgHomePrice,AdjForInflation
1985,84300,247000
1986,92000,264600
1987,104000,288600
1988,112000,289500
1989,120000,305130
1990,122900,296400
1991,120000,277700
1992,121500,273100
1993,126500,276050
1994,130000,276500
1995,133900,277050
1996,140000,281500
1997,146000,286815
1998,152500,294990
1999,161000,304702
2000,169000,309441
2001,174100,309959
2002,226700,397324
2003,249800,428055
2004,271483,453143
2005,289991,468174
2006,303516,474696
2007,308775,469548
2008,288916,423103
2009,268233,394217
2010,271516,392602
2011,263350,369142
2012,285391,391926
2013,319275,432130
2014,343183,457074
2015,352475,468893
2016,362608,476363
2017,377808,485979
2018,379316,476052
2019,377041,465002
2020,416241,507091
2021,452750,526820
2022,529691,570677
2023,504383,521927
2024,420400,420400